"name","state","Month","Year","fips","DataHubPresence","SurroundingTheBay","monthBan","yearBan","monthTax","yearTax","PIC","TN","TOC","TON","Ban","Tax","Evap_tavg","Qs_tavg","Rainf_f_tavg","Tair_f_tavg"
"Anne Arundel County","MD",1,2022,24003,1,1,NA,NA,NA,NA,0.0333333333333333,0.937222222222222,NA,0.566542857142857,0,0,1.58892795904346e-05,4.60558543598684e-06,4.06660462128154e-05,273.397702534993
"Anne Arundel County","MD",2,2010,24003,1,1,NA,NA,NA,NA,NA,1.3228,NA,1.08266666666667,0,0,1.97111075976864e-05,4.35272939588079e-06,3.27010854258939e-05,271.504030863444
"Anne Arundel County","MD",2,2011,24003,1,1,NA,NA,NA,NA,NA,1.0245,NA,0.88854,0,0,1.57088973082864e-05,2.51725649510111e-06,2.13937779941868e-05,275.617294311523
"Anne Arundel County","MD",2,2012,24003,1,1,NA,NA,NA,NA,0.03,1.0525,2.487,0.6037,0,0,1.62725355608018e-05,9.36735939186898e-07,1.38897914136275e-05,278.040356953939
"Anne Arundel County","MD",2,2013,24003,1,1,NA,NA,NA,NA,0.0575,1.0691,5.135,0.6188,0,0,1.37105565537847e-05,7.19172021490522e-06,4.11431434865032e-05,274.554181416829
"Anne Arundel County","MD",2,2014,24003,1,1,NA,NA,NA,NA,0.03,1.0715,5.1525,0.775125,0,0,1.68516472361565e-05,9.56564800465761e-06,4.63373638316019e-05,273.147748311361
"Anne Arundel County","MD",2,2015,24003,1,1,NA,NA,NA,NA,NA,0.951181818181818,3.2175,0.6524,0,0,1.63431072148038e-05,1.40888794912068e-06,2.46971882612949e-05,269.55552927653
"Anne Arundel County","MD",2,2016,24003,1,1,NA,NA,NA,NA,NA,0.923,6.52666666666667,0.5608,0,0,1.42811661258217e-05,6.38343090031412e-06,4.27615786975366e-05,275.780250549316
"Anne Arundel County","MD",2,2017,24003,1,1,NA,NA,NA,NA,0.03,0.892583333333333,2.2275,0.62913,0,0,1.2511190898105e-05,1.012033903199e-06,1.58524658218084e-05,279.557991027832
"Anne Arundel County","MD",2,2018,24003,1,1,NA,NA,NA,NA,0.0856,1.1671,NA,0.55162,0,0,1.30067976821617e-05,9.45102673692115e-06,5.76413546392966e-05,278.045550028483
"Anne Arundel County","MD",2,2019,24003,1,1,NA,NA,NA,NA,0.03,1.49433333333333,NA,0.548566666666667,0,0,1.51622102938139e-05,7.35537605578429e-06,3.95203063211132e-05,275.386823018392
"Anne Arundel County","MD",2,2020,24003,1,1,NA,NA,NA,NA,0.0575,0.99525,NA,0.517911764705882,0,0,1.38435109420243e-05,3.5253112571354e-06,3.75182435163879e-05,278.464057922363
"Anne Arundel County","MD",2,2021,24003,1,1,NA,NA,NA,NA,0.114,1.2515,NA,0.775111111111111,0,0,1.85107149566951e-05,5.89588279353848e-06,4.49457960106277e-05,274.00065612793
"Anne Arundel County","MD",2,2022,24003,1,1,NA,NA,NA,NA,0.03,0.965,NA,0.627405882352941,0,0,1.37553487509952e-05,1.87533025552966e-06,2.42494890395998e-05,276.641316731771
"Anne Arundel County","MD",3,2010,24003,1,1,NA,NA,NA,NA,NA,1.37228571428571,NA,0.815909090909091,0,0,2.02589314236927e-05,1.36689453332413e-05,4.84312631670036e-05,281.174105326335
"Anne Arundel County","MD",3,2011,24003,1,1,NA,NA,NA,NA,NA,1.24157142857143,NA,0.514428571428571,0,0,2.02588150841621e-05,1.03005733459819e-05,5.75630826157673e-05,279.438501993815
"Anne Arundel County","MD",3,2012,24003,1,1,NA,NA,NA,NA,0.23,1.00764285714286,8.04,0.520214285714286,0,0,2.31965355889467e-05,6.71465562618323e-06,2.96502548735589e-05,284.533518473307
"Anne Arundel County","MD",3,2013,24003,1,1,NA,NA,NA,NA,0.03,0.9948,3.526875,0.80851,0,0,1.68674138005069e-05,5.72447790621785e-06,2.87499343964252e-05,276.940411885579
"Anne Arundel County","MD",3,2014,24003,1,1,NA,NA,NA,NA,0.039,1.2392,3.84422222222222,0.93423,0,0,1.92245806071393e-05,9.28236011077388e-06,4.76299113264152e-05,275.850705464681
"Anne Arundel County","MD",3,2015,24003,1,1,NA,NA,NA,NA,NA,1.17946666666667,4.5742,0.742583333333333,0,0,1.8801187934514e-05,9.3757192303201e-06,4.01237599968833e-05,276.700698852539
"Anne Arundel County","MD",3,2016,24003,1,1,NA,NA,NA,NA,0.03,1.2268,2.712,0.671214285714286,0,0,1.99081881741373e-05,2.31371861048046e-06,1.71599106882544e-05,282.668711344401
"Anne Arundel County","MD",3,2017,24003,1,1,NA,NA,NA,NA,0.03,0.814583333333333,3.11175,0.56145,0,0,1.9698942234451e-05,1.94927892967674e-06,2.98831876837842e-05,279.095893859863
"Anne Arundel County","MD",3,2018,24003,1,1,NA,NA,NA,NA,0.038,1.09033333333333,NA,0.700642857142857,0,0,1.39040304247828e-05,4.24733579507119e-06,2.58022773778066e-05,277.101943969727
"Anne Arundel County","MD",3,2019,24003,1,1,NA,NA,NA,NA,0.03,1.43482352941176,NA,0.6049,0,0,2.22507270185209e-05,1.2293677021565e-05,4.10618467867607e-05,278.364163716634
"Anne Arundel County","MD",3,2020,24003,1,1,NA,NA,NA,NA,0.03,1.562,NA,NA,0,0,1.80794530895885e-05,3.2076394802516e-06,3.43957948037617e-05,282.415758768717
"Anne Arundel County","MD",3,2021,24003,1,1,NA,NA,NA,NA,0.03,1.1309,NA,0.5936,0,0,2.37226379150949e-05,1.04378261388168e-05,4.41057287995742e-05,281.202214558919
"Anne Arundel County","MD",3,2022,24003,1,1,NA,NA,NA,NA,0.06,1.12958333333333,NA,0.5766875,0,0,1.70153499160127e-05,3.57266319876241e-06,2.88659537848919e-05,281.261070251465
"Anne Arundel County","MD",4,2010,24003,1,1,NA,NA,NA,NA,NA,1.17564285714286,NA,0.629428571428571,0,0,3.44371390686623e-05,4.60689430307563e-06,1.8868290832567e-05,287.216588338216
"Anne Arundel County","MD",4,2011,24003,1,1,NA,NA,NA,NA,NA,1.07786666666667,NA,0.66582,0,0,2.9463782576992e-05,5.9930948073846e-06,4.44822944700718e-05,286.503542582194
"Anne Arundel County","MD",4,2012,24003,1,1,NA,NA,NA,NA,0.071,1.00986666666667,7.27,0.895493333333333,0,0,2.23289671244705e-05,4.70668074588805e-06,2.12334113408967e-05,285.588312784831
"Anne Arundel County","MD",4,2013,24003,1,1,NA,NA,NA,NA,0.03,0.910375,4.2205,0.641238888888889,0,0,2.78238301992436e-05,5.04327461688566e-06,3.71492578778998e-05,285.461519877116
"Anne Arundel County","MD",4,2014,24003,1,1,NA,NA,NA,NA,0.032,1.29783333333333,5.499,0.60825,0,0,3.01303254180614e-05,8.03479770183912e-06,3.54382100340445e-05,284.233194986979
"Anne Arundel County","MD",4,2015,24003,1,1,NA,NA,NA,NA,NA,1.02986666666667,9.33,0.544357142857143,0,0,3.08581402540161e-05,9.22864745689367e-06,3.75793776280868e-05,285.486897786458
"Anne Arundel County","MD",4,2016,24003,1,1,NA,NA,NA,NA,0.03,0.8939,4.40475,0.5828,0,0,2.6172964851412e-05,2.39046741038843e-06,2.33508703786356e-05,285.158968607585
"Anne Arundel County","MD",4,2017,24003,1,1,NA,NA,NA,NA,0.03,1.22844666666667,5.805,0.7060375,0,0,2.47245840417539e-05,9.07288650372114e-06,4.00166133355621e-05,288.263338724772
"Anne Arundel County","MD",4,2018,24003,1,1,NA,NA,NA,NA,0.03,0.980714285714286,NA,0.5294,0,0,2.20710539338143e-05,8.17781180254921e-06,3.51896574102284e-05,283.391563415527
"Anne Arundel County","MD",4,2019,24003,1,1,NA,NA,NA,NA,0.03,1.26528571428571,NA,0.645289473684211,0,0,3.43843350378847e-05,3.7680282976756e-06,2.89160405676133e-05,287.288597106934
"Anne Arundel County","MD",4,2020,24003,1,1,NA,NA,NA,NA,0.034,1.359,NA,NA,0,0,2.39735847079222e-05,8.43917484871781e-06,3.85402981919469e-05,284.034983317057
"Anne Arundel County","MD",4,2021,24003,1,1,NA,NA,NA,NA,0.03,1.16571428571429,NA,0.854478260869565,0,0,3.1678731431839e-05,7.25113250155118e-06,2.86019931081682e-05,285.863477071126
"Anne Arundel County","MD",4,2022,24003,1,1,NA,NA,NA,NA,0.106666666666667,1.08888235294118,NA,0.497366666666667,0,0,2.44649460986087e-05,1.02184264202757e-05,4.20352550160411e-05,284.955800374349
"Anne Arundel County","MD",5,2010,24003,1,1,NA,NA,NA,NA,NA,0.940571428571429,NA,0.575585714285714,0,0,3.84514524967017e-05,4.00103581910116e-06,2.92306246289324e-05,291.728421529134
"Anne Arundel County","MD",5,2011,24003,1,1,NA,NA,NA,NA,NA,1.19713333333333,NA,0.853773333333333,0,0,3.50171246357907e-05,2.98059170233955e-06,2.75176736674136e-05,291.813234965007
"Anne Arundel County","MD",5,2012,24003,1,1,NA,NA,NA,NA,0.0746666666666667,0.757125,4.02,0.6579875,0,0,3.60894838043654e-05,3.10283534095864e-06,2.93640467437702e-05,292.929201761882
"Anne Arundel County","MD",5,2013,24003,1,1,NA,NA,NA,NA,0.033,0.884533333333333,6.8989,0.833686666666667,0,0,3.28525811331322e-05,6.02138050946148e-06,2.79823992362556e-05,290.072692871094
"Anne Arundel County","MD",5,2014,24003,1,1,NA,NA,NA,NA,0.03,1.0208125,6.06375,0.6155625,0,0,3.87156736299706e-05,1.67556560578911e-05,6.75283966605396e-05,291.147422790527
"Anne Arundel County","MD",5,2015,24003,1,1,NA,NA,NA,NA,NA,1.002625,7.4165,0.6211,0,0,3.35617162174155e-05,6.23152281301979e-06,2.17418205465947e-05,292.72401936849
"Anne Arundel County","MD",5,2016,24003,1,1,NA,NA,NA,NA,0.03,0.9035,3.5325,0.61326875,0,0,2.87426908016641e-05,9.14452061806514e-06,5.11971617621991e-05,289.016141255697
"Anne Arundel County","MD",5,2017,24003,1,1,NA,NA,NA,NA,0.03,1.001,3.3375,0.70566875,0,0,3.44336288738608e-05,7.12391852175642e-06,4.97039757950309e-05,290.494405110677
"Anne Arundel County","MD",5,2018,24003,1,1,NA,NA,NA,NA,0.038,1.16178571428571,NA,0.94074,0,0,3.65684458074611e-05,9.31406520976452e-06,7.41101684980094e-05,293.257013956706
"Anne Arundel County","MD",5,2019,24003,1,1,NA,NA,NA,NA,0.03,1.08566666666667,NA,0.563666666666667,0,0,3.92614689038358e-05,9.10798068313549e-06,4.76619215987739e-05,292.612787882487
"Anne Arundel County","MD",5,2020,24003,1,1,NA,NA,NA,NA,0.03,1.0718,NA,0.8344,0,0,3.32510075509163e-05,6.1158288436521e-06,3.5755480894295e-05,288.830108642578
"Anne Arundel County","MD",5,2021,24003,1,1,NA,NA,NA,NA,NA,0.8783,NA,0.767139130434783,0,0,3.74879803454557e-05,6.38912746353526e-06,2.97720351530491e-05,290.63055674235
"Anne Arundel County","MD",5,2022,24003,1,1,NA,NA,NA,NA,0.11,0.982666666666667,NA,0.701347058823529,0,0,3.45540119421154e-05,6.71488497043053e-06,5.02431169782843e-05,291.057805379232
"Anne Arundel County","MD",6,2010,24003,1,1,NA,NA,NA,NA,NA,0.785,NA,0.662277272727273,0,0,4.44795762746253e-05,2.79560854702747e-06,2.21461321719592e-05,298.576115926107
"Anne Arundel County","MD",6,2011,24003,1,1,NA,NA,NA,NA,NA,0.8215,NA,0.636383333333333,0,0,4.06369816232655e-05,2.46408308157697e-06,2.89591460690038e-05,297.253303527832
"Anne Arundel County","MD",6,2012,24003,1,1,NA,NA,NA,NA,0.0565,0.83175,5.91333333333333,0.64357,0,0,4.02835860503122e-05,4.40738218306554e-06,2.12983115185731e-05,296.211970011393
"Anne Arundel County","MD",6,2013,24003,1,1,NA,NA,NA,NA,0.084,0.86095,7.00233333333333,0.6902875,0,0,4.27701730814078e-05,1.63542640242061e-05,7.59502969837437e-05,296.16633605957
"Anne Arundel County","MD",6,2014,24003,1,1,NA,NA,NA,NA,0.0505,0.910375,5.5905,0.68883125,0,0,4.48964654159075e-05,6.52471046199328e-06,3.8485824613114e-05,295.728240966797
"Anne Arundel County","MD",6,2015,24003,1,1,NA,NA,NA,NA,0.052,0.710166666666667,10.9736666666667,0.574594444444444,0,0,4.38106738253434e-05,2.29904230764078e-05,8.71090014697984e-05,296.393290201823
"Anne Arundel County","MD",6,2016,24003,1,1,NA,NA,NA,NA,0.185,0.823923076923077,7.49516666666667,0.65144,0,0,4.43874748725648e-05,6.32901151220722e-06,4.06294187390207e-05,295.814465840658
"Anne Arundel County","MD",6,2017,24003,1,1,NA,NA,NA,NA,0.03,0.885461538461538,5.067,0.6132,0,0,4.1292525679637e-05,3.90176921409117e-06,2.62540115727461e-05,296.841550191243
"Anne Arundel County","MD",6,2018,24003,1,1,NA,NA,NA,NA,0.083,0.938461538461538,NA,0.635163157894737,0,0,3.989833732021e-05,7.99377412855999e-06,4.05918253818527e-05,295.62454477946
"Anne Arundel County","MD",6,2019,24003,1,1,NA,NA,NA,NA,0.03,0.963714285714286,NA,0.677313793103448,0,0,4.39257463161387e-05,3.92662827645533e-06,3.51327961046385e-05,296.046813964844
"Anne Arundel County","MD",6,2020,24003,1,1,NA,NA,NA,NA,0.055,1.0016375,NA,0.832553846153846,0,0,4.32975495717377e-05,7.23600966997158e-06,4.42358204963966e-05,296.209762573242
"Anne Arundel County","MD",6,2021,24003,1,1,NA,NA,NA,NA,0.03,0.804,NA,0.650405,0,0,4.21800096243411e-05,7.03422501165581e-06,3.54782619069738e-05,296.170786539714
"Anne Arundel County","MD",6,2022,24003,1,1,NA,NA,NA,NA,0.07,0.98152380952381,NA,0.719125,0,0,4.19763355428889e-05,5.02184988230662e-06,3.02268155489098e-05,296.831362406413
"Anne Arundel County","MD",7,2010,24003,1,1,NA,NA,NA,NA,NA,0.8015,NA,0.721175,0,0,4.01651752023705e-05,8.16718474538902e-06,4.52921294709085e-05,300.398788452148
"Anne Arundel County","MD",7,2011,24003,1,1,NA,NA,NA,NA,NA,0.790071428571429,NA,0.72635,0,0,3.88089798093461e-05,8.95161898029073e-06,3.99880582335754e-05,300.564005533854
"Anne Arundel County","MD",7,2012,24003,1,1,NA,NA,NA,NA,0.042,0.886525,5.07833333333333,0.77472,0,0,3.95502142964688e-05,5.90463829534353e-06,4.57502219433081e-05,300.974400838216
"Anne Arundel County","MD",7,2013,24003,1,1,NA,NA,NA,NA,0.03,0.882666666666667,5.445,0.7837,0,0,3.78027090732758e-05,6.13177047625868e-06,3.80258922329328e-05,298.859957377116
"Anne Arundel County","MD",7,2014,24003,1,1,NA,NA,NA,NA,0.03,0.8041875,3.0555,0.733475,0,0,4.44304104879241e-05,3.69399310310807e-06,3.47499711400208e-05,297.649579366048
"Anne Arundel County","MD",7,2015,24003,1,1,NA,NA,NA,NA,0.03,0.8581875,9.195,0.73229375,0,0,3.8573549583513e-05,7.39962820262008e-06,3.91589395197419e-05,298.176348368327
"Anne Arundel County","MD",7,2016,24003,1,1,NA,NA,NA,NA,NA,0.783214285714286,5.7075,0.59636875,0,0,4.19988322922412e-05,1.26478305257175e-05,5.283445140473e-05,299.904614766439
"Anne Arundel County","MD",7,2017,24003,1,1,NA,NA,NA,NA,0.05,0.888214285714286,8.665,0.743335294117647,0,0,3.56770873774318e-05,1.80441814260727e-05,7.06956304081056e-05,299.675547281901
"Anne Arundel County","MD",7,2018,24003,1,1,NA,NA,NA,NA,0.03,1.05407142857143,NA,0.902878947368421,0,0,3.96438734545275e-05,2.89170594290529e-05,8.89009352249559e-05,298.614741007487
"Anne Arundel County","MD",7,2019,24003,1,1,NA,NA,NA,NA,NA,0.8045,NA,0.692907142857143,0,0,4.61401303937237e-05,6.39168547422742e-06,4.54560107148912e-05,300.05303700765
"Anne Arundel County","MD",7,2020,24003,1,1,NA,NA,NA,NA,0.0403333333333333,0.857846153846154,NA,0.672609523809524,0,0,4.31273166062359e-05,8.88217895559743e-06,4.8688215125973e-05,301.017751057943
"Anne Arundel County","MD",7,2021,24003,1,1,NA,NA,NA,NA,0.03,0.718727272727273,NA,0.648776190476191,0,0,4.14267963909272e-05,5.51296066457023e-06,3.56874570570653e-05,299.783493041992
"Anne Arundel County","MD",7,2022,24003,1,1,NA,NA,NA,NA,0.06,0.849133333333333,NA,0.757053125,0,0,4.01981877757862e-05,1.11981516965898e-05,5.99059570352741e-05,299.836784362793
"Anne Arundel County","MD",8,2010,24003,1,1,NA,NA,NA,NA,NA,0.802833333333333,NA,0.776408695652174,0,0,3.30874200547745e-05,1.18565139928251e-05,4.83305217737022e-05,298.649444580078
"Anne Arundel County","MD",8,2011,24003,1,1,NA,NA,NA,NA,NA,0.741811111111111,NA,0.609894444444444,0,0,3.46467275373167e-05,2.57463888525914e-05,8.95583295156636e-05,298.449513753255
"Anne Arundel County","MD",8,2012,24003,1,1,NA,NA,NA,NA,0.037,1.00665,5.098,0.954445,0,0,2.81735317457787e-05,1.085391839221e-05,5.03117859504224e-05,298.577379862467
"Anne Arundel County","MD",8,2013,24003,1,1,NA,NA,NA,NA,0.03,0.897333333333333,2.589,0.794653333333333,0,0,3.10729809598342e-05,2.27649003647912e-06,2.36975274674478e-05,296.645113627116
"Anne Arundel County","MD",8,2014,24003,1,1,NA,NA,NA,NA,0.03,0.73937,6.034,0.675745,0,0,3.29100891273508e-05,1.83525696305272e-05,4.78293762474398e-05,296.575757344564
"Anne Arundel County","MD",8,2015,24003,1,1,NA,NA,NA,NA,0.03,0.888789473684211,4.96125,0.814052631578947,0,0,3.45371028060981e-05,3.50168880440075e-06,2.03163162950659e-05,298.006474812826
"Anne Arundel County","MD",8,2016,24003,1,1,NA,NA,NA,NA,0.03,0.902533333333333,4.3845,0.75303,0,0,3.64465312638155e-05,6.41088826114355e-06,3.40407471715783e-05,299.867446899414
"Anne Arundel County","MD",8,2017,24003,1,1,NA,NA,NA,NA,0.03,0.934307692307692,3.89475,0.811327272727273,0,0,3.39735404774425e-05,9.08200672711246e-06,5.08121565871988e-05,296.933692932129
"Anne Arundel County","MD",8,2018,24003,1,1,NA,NA,NA,NA,0.0565,1.14564285714286,NA,0.756114285714286,0,0,3.83695218791521e-05,4.66777845531396e-06,3.60536338727494e-05,298.536966959635
"Anne Arundel County","MD",8,2019,24003,1,1,NA,NA,NA,NA,0.0435,0.860611111111111,NA,0.742681818181818,0,0,3.59181202043146e-05,5.44220183466374e-06,3.48380646452521e-05,298.988586425781
"Anne Arundel County","MD",8,2020,24003,1,1,NA,NA,NA,NA,0.03,0.769266666666667,NA,0.697568965517241,0,0,3.65800756298995e-05,2.04624293852855e-05,9.51457944514307e-05,298.36097462972
"Anne Arundel County","MD",8,2021,24003,1,1,NA,NA,NA,NA,0.03,0.790625,NA,0.730422222222222,0,0,3.71683113750502e-05,8.28815956310791e-06,6.23027362962603e-05,299.27677154541
"Anne Arundel County","MD",8,2022,24003,1,1,NA,NA,NA,NA,0.085,0.7339,NA,0.670912068965517,0,0,3.51919979190522e-05,5.85008024245326e-06,3.62975379175623e-05,299.433171590169
"Anne Arundel County","MD",9,2010,24003,1,1,NA,NA,NA,NA,NA,0.64075,NA,0.588242857142857,0,0,2.23597499295162e-05,2.30853047137695e-06,1.59919460050636e-05,296.102272033691
"Anne Arundel County","MD",9,2011,24003,1,1,NA,NA,NA,NA,NA,1.1358125,NA,0.67538125,0,0,2.70793436053888e-05,2.1339250603584e-05,0.000104596597035804,294.388468424479
"Anne Arundel County","MD",9,2012,24003,1,1,NA,NA,NA,NA,0.0373333333333333,0.794130769230769,5.6966,0.697292307692308,0,0,2.34229156982716e-05,4.94344398778897e-06,3.19280032575383e-05,294.592262268066
"Anne Arundel County","MD",9,2013,24003,1,1,NA,NA,NA,NA,0.057,0.6505,3.979,0.61155625,0,0,2.24361469918222e-05,3.49086849382729e-06,1.95460762976533e-05,293.81113688151
"Anne Arundel County","MD",9,2014,24003,1,1,NA,NA,NA,NA,0.0315,0.7863375,4.07166666666667,0.73435,0,0,2.56402488313749e-05,6.94463857560853e-06,3.02230353857643e-05,294.583869934082
"Anne Arundel County","MD",9,2015,24003,1,1,NA,NA,NA,NA,0.1085,0.740875,6.99366666666667,0.6817125,0,0,2.55595080223732e-05,7.09101435821443e-06,4.15494411451315e-05,296.015609741211
"Anne Arundel County","MD",9,2016,24003,1,1,NA,NA,NA,NA,0.03,0.939181818181818,2.769,0.763192857142857,0,0,2.12275708027695e-05,9.09379902698978e-06,4.65182653594335e-05,296.556765238444
"Anne Arundel County","MD",9,2017,24003,1,1,NA,NA,NA,NA,0.03,0.760153846153846,3.15075,0.61419375,0,0,2.36747546675057e-05,5.50198798521251e-06,1.76186111578621e-05,294.924812316895
"Anne Arundel County","MD",9,2018,24003,1,1,NA,NA,NA,NA,0.03,1.20621428571429,NA,0.75693125,0,0,2.95398224352539e-05,1.88443663091675e-05,8.12717850446158e-05,296.258794148763
"Anne Arundel County","MD",9,2019,24003,1,1,NA,NA,NA,NA,0.03,0.787916666666667,NA,0.640308333333333,0,0,2.25833794710676e-05,6.6936046276093e-07,8.60956807476517e-06,296.907793680827
"Anne Arundel County","MD",9,2020,24003,1,1,NA,NA,NA,NA,NA,0.6641,NA,0.686465,0,0,2.92093376212203e-05,1.04948740045074e-05,4.94521627842914e-05,293.80883026123
"Anne Arundel County","MD",9,2021,24003,1,1,NA,NA,NA,NA,0.04,0.955,NA,0.874725,0,0,2.805612418418e-05,1.15161489778378e-05,4.38232555097784e-05,295.566619873047
"Anne Arundel County","MD",9,2022,24003,1,1,NA,NA,NA,NA,0.06,0.7758125,NA,0.686211111111111,0,0,2.2125908515136e-05,5.98966236016925e-06,2.56442216747625e-05,295.277168273926
"Anne Arundel County","MD",10,2010,24003,1,1,NA,NA,NA,NA,NA,0.733928571428571,NA,0.64701875,0,0,1.91291547177267e-05,2.97273950309318e-05,8.49736055291335e-05,288.175409952799
"Anne Arundel County","MD",10,2011,24003,1,1,NA,NA,NA,NA,0.03,1.02706666666667,4.32933333333333,0.639144444444444,0,0,2.08817835224788e-05,6.97499619188117e-06,3.34060079391444e-05,287.311424255371
"Anne Arundel County","MD",10,2012,24003,1,1,NA,NA,NA,NA,0.05475,0.6713125,7.16575,0.595526666666667,0,0,1.35284670174466e-05,2.24499887432709e-05,7.21183902593718e-05,288.479197184245
"Anne Arundel County","MD",10,2013,24003,1,1,NA,NA,NA,NA,0.064,0.679042857142857,4.326,0.519092857142857,0,0,1.61973447347918e-05,1.3979399644389e-05,4.93745938001666e-05,288.787717183431
"Anne Arundel County","MD",10,2014,24003,1,1,NA,NA,NA,NA,0.0333333333333333,0.579375,4.4814,0.5015875,0,0,1.86808900366486e-05,8.0875633064655e-06,3.43264955517952e-05,289.059928894043
"Anne Arundel County","MD",10,2015,24003,1,1,NA,NA,NA,NA,NA,0.643036842105263,4.444875,0.531505882352941,0,0,1.71117618492644e-05,8.15857627382381e-06,4.16646025769296e-05,287.665875752767
"Anne Arundel County","MD",10,2016,24003,1,1,NA,NA,NA,NA,0.03,0.709369230769231,3.4365,0.6113875,0,0,1.72521116989325e-05,3.4456106069077e-06,2.07167613552883e-05,289.190813700358
"Anne Arundel County","MD",10,2017,24003,1,1,NA,NA,NA,NA,0.03,0.811733333333333,NA,0.60629375,0,0,1.53015496759205e-05,5.48763676988528e-06,3.02249363812734e-05,291.008201599121
"Anne Arundel County","MD",10,2018,24003,1,1,NA,NA,NA,NA,0.03,1.15423076923077,NA,0.76825,0,0,2.23722419718797e-05,1.24525935234487e-05,3.94886716700663e-05,288.783988952637
"Anne Arundel County","MD",10,2019,24003,1,1,NA,NA,NA,NA,0.03,0.756,NA,0.552196,0,0,1.42624158646261e-05,8.52698711166037e-06,3.56334755148661e-05,290.342140197754
"Anne Arundel County","MD",10,2020,24003,1,1,NA,NA,NA,NA,0.03,0.66825,NA,0.553378571428571,0,0,1.84112823452172e-05,1.45318663650566e-05,4.74838076722032e-05,289.12629699707
"Anne Arundel County","MD",10,2021,24003,1,1,NA,NA,NA,NA,0.035,1.02925,NA,0.7605375,0,0,1.86480996404725e-05,4.88567634704395e-06,2.95161814089321e-05,291.433741251628
"Anne Arundel County","MD",10,2022,24003,1,1,NA,NA,NA,NA,NA,0.67885,NA,0.660885714285714,0,0,1.62686358559464e-05,5.07305827568416e-06,3.26417411997681e-05,286.809992472331
"Anne Arundel County","MD",11,2010,24003,1,1,NA,NA,NA,NA,NA,0.7561,NA,0.705313333333333,0,0,1.03798558323357e-05,2.22811119954258e-06,1.67756331090156e-05,281.649983723958
"Anne Arundel County","MD",11,2011,24003,1,1,NA,NA,NA,NA,0.0455,0.974454545454545,4.98866666666667,0.691281818181818,0,0,1.38729417453002e-05,5.17331127033079e-06,3.06641016625993e-05,283.510983784993
"Anne Arundel County","MD",11,2012,24003,1,1,NA,NA,NA,NA,0.03,0.800736363636364,2.7855,0.666881818181818,0,0,1.16166792641555e-05,1.21010243011218e-06,1.20713253484913e-05,279.429084777832
"Anne Arundel County","MD",11,2013,24003,1,1,NA,NA,NA,NA,0.03,0.6695,5.194875,0.573291666666667,0,0,1.031849399169e-05,7.0188274321481e-06,3.71076133281652e-05,280.40030670166
"Anne Arundel County","MD",11,2014,24003,1,1,NA,NA,NA,NA,0.03,0.643575,3.7886,0.508772727272727,0,0,1.16599417954906e-05,5.69479707716406e-06,3.57004291799967e-05,279.813547770182
